N,P,K,pH,EC,OC,Cu,Fe,Mn,Rainfall,Humidity,Temperature,Label
324.9,18.36,219.6,6.2,0.12,0.61,0.55,14.8,6.0,107.51,54.15,16.1365,Apple
354.6,19.2,312.4,6.3,0.09,0.79,0.56,18.9,3.9,70.73,66.22,20.7824,Apple
432.9,22.4,198.2,6.5,0.13,0.65,0.48,14.6,4.5,69.66,51.47,18.8937,Apple
432.6,34.2,139.6,6.6,0.07,0.79,0.45,15.5,5.0,69.81,52.72,21.2746,Apple
324.2,19.6,120.2,6.7,0.15,0.62,0.62,16.9,5.6,92.98,64.48,22.6887,Apple
287.2,14.2,132.9,6.7,0.13,0.59,0.57,15.2,5.9,96.53,65.99,21.9459,Apple
292.3,12.3,139.6,7.1,0.19,0.71,0.49,16.9,5.8,92.82,70.53,20.7585,Apple
242.3,19.4,134.5,6.5,0.12,0.98,0.43,18.3,4.9,83.71,61.5,21.408,Apple
392.4,22.1,122.3,6.3,0.11,0.59,0.38,17.9,4.6,75.66,65.17,15.9849,Apple
492.3,31.2,129.7,7.2,0.09,0.39,0.34,18.0,4.7,93.63,67.04,22.8629,Apple
478.2,17.2,139.1,6.4,0.07,0.78,0.54,15.1,4.8,73.44,63.7,16.6479,Apple
417.1,13.9,184.3,7.0,0.09,0.77,0.53,11.2,4.3,71.65,56.32,15.608,Apple
412.3,14.2,190.4,7.1,0.05,0.72,0.45,12.9,3.0,74.18,54.42,18.3387,Apple
219.5,16.0,152.3,7.9,0.16,0.32,0.64,10.0,2.37,96.22,61.59,21.4969,Apple
389.4,18.6,189.1,6.7,0.09,0.17,1.98,7.0,5.7,55.44,51.5,17.8731,Apple
407.6,19.1,297.5,6.1,0.06,0.98,0.88,23.9,1.65,108.35,79.18,18.9317,Apple
153.4,24.3,133.6,8.0,0.17,0.21,0.84,7.6,2.41,77.79,52.31,18.167,Apple
429.8,16.7,347.2,7.2,0.12,1.08,0.41,15.21,4.9,79.99,53.58,20.3075,Apple
386.5,8.34,386.4,6.7,0.16,0.66,0.38,5.13,4.1,91.94,70.3,21.3075,Apple
251.4,6.9,212.8,7.7,0.09,0.34,1.28,10.2,1.0,79.57,64.05,20.6397,Apple
157.4,12.6,108.1,6.5,0.01,0.15,1.7,5.1,1.4,96.1,63.72,20.8185,Apple
206.8,6.4,235.2,6.9,0.05,0.13,1.0,9.0,4.4,60.11,70.27,15.9333,Apple
282.2,13.6,170.6,9.0,0.11,0.65,0.29,5.0,0.67,100.3,58.23,19.6495,Apple
275.4,37.3,354.1,7.9,0.08,0.45,2.02,9.0,7.6,81.24,77.62,17.1282,Apple
567.8,42.7,123.5,8.0,0.08,1.05,2.04,4.6,2.8,94.95,69.92,21.7996,Apple
231.4,5.7,123.2,8.5,0.01,0.37,1.7,10.2,1.0,80.17,57.9,15.4875,Apple
481.5,18.8,313.6,7.2,0.13,0.9,0.69,5.2,3.04,98.9,64.89,16.7402,Apple
348.9,12.1,123.2,7.8,0.09,0.75,1.48,6.8,3.06,72.09,51.8,19.2594,Apple
412.5,17.2,97.1,5.2,0.12,0.63,1.32,13.5,2.4,75.98,52.41,18.7728,Apple
322.3,8.7,250.7,7.4,0.05,0.54,0.58,11.1,1.2,66.57,56.12,15.3914,Apple
281.5,13.8,179.2,8.0,0.09,0.17,0.5,4.29,3.64,64.59,56.68,19.9011,Apple
156.8,17.3,165.4,7.7,0.1,0.18,0.34,6.64,2.51,116.04,52.58,20.9501,Apple
376.3,17.9,347.2,4.5,0.02,0.63,1.9,17.3,5.16,85.16,55.23,20.3225,Apple
610.1,19.9,418.0,7.9,0.02,1.2,0.37,14.2,3.9,83.56,67.52,20.4836,Apple
581.8,68.2,490.0,6.5,0.11,0.93,0.29,16.2,5.3,67.28,50.65,18.7533,Apple
421.3,24.9,460.0,6.1,0.1,1.3,0.31,17.9,5.2,110.12,72.27,16.5639,Apple
495.4,68.2,413.0,4.9,0.09,1.3,0.32,19.2,6.1,88.69,53.79,16.8486,Apple
590.1,29.3,412.0,5.2,0.08,0.89,0.39,11.9,5.1,54.45,63.72,22.691,Apple
517.4,48.3,380.0,6.2,0.07,0.91,0.34,12.3,3.9,95.69,54.56,15.2162,Apple
366.9,67.3,391.0,6.3,0.15,0.92,0.34,14.5,4.5,83.52,60.46,15.0769,Apple
516.4,25.9,342.0,6.1,0.13,0.83,0.41,16.3,6.0,81.96,58.5,20.0673,Apple
522.3,33.2,351.0,6.0,0.19,0.84,0.29,19.4,3.9,71.12,54.43,15.8572,Apple
399.2,32.6,361.0,6.5,0.2,0.79,0.28,15.3,4.0,71.26,59.71,18.3806,Apple
542.0,19.2,252.0,6.5,0.12,0.81,0.34,15.2,4.2,92.28,64.76,19.1708,Apple
562.0,42.1,251.0,7.5,0.13,0.86,0.36,16.1,4.4,107.92,71.72,16.4628,Apple
444.0,33.2,391.0,6.9,0.19,0.92,0.46,11.2,4.9,83.21,73.75,20.3745,Apple
432.0,61.3,324.0,7.3,0.2,0.8,0.47,12.3,4.36,90.25,66.36,16.6908,Apple
431.0,63.2,291.0,7.4,0.91,0.84,0.49,14.2,4.9,57.87,53.87,21.3346,Apple
411.0,41.9,132.0,6.9,0.09,0.9,0.51,14.9,4.7,94.32,54.93,16.6546,Apple
755.7,29.3,185.9,6.9,0.21,2.1,0.38,12.1,6.1,94.03,66.68,16.0746,Apple
439.0,40.4,348.8,8.1,0.09,0.42,1.2,9.0,1.6,87.71,78.33,16.3637,Apple
250.6,28.7,168.0,7.6,0.1,0.12,1.2,9.0,1.26,103.08,54.16,16.7367,Apple
313.6,39.8,334.5,8.2,0.05,1.2,0.6,17.0,3.0,84.46,61.13,21.0079,Apple
285.7,6.2,145.6,7.6,0.06,0.32,0.4,12.0,0.56,88.65,79.06,18.383,Apple
313.6,44.5,336.0,7.4,0.04,0.26,0.8,16.0,0.76,85.97,64.78,17.214,Apple
521.5,16.2,313.6,8.0,0.05,0.48,0.6,9.0,0.54,75.48,75.84,20.0572,Apple
297.3,15.5,93.8,8.0,0.05,0.48,0.2,9.0,1.4,85.48,54.38,21.9368,Apple
279.4,12.4,149.5,8.1,0.02,0.15,0.78,12.0,5.57,67.91,66.55,17.0517,Apple
212.5,22.1,138.4,7.9,0.07,0.39,0.89,6.71,2.41,70.28,52.2,21.0475,Apple
212.5,22.1,138.4,7.9,0.07,0.39,0.89,9.0,3.48,70.38,76.29,20.6532,Apple
289.4,29.8,313.2,7.6,0.08,0.62,0.91,9.0,6.29,76.8,74.14,21.2123,Apple
250.8,12.6,133.6,7.6,0.03,0.29,0.84,7.6,2.41,82.22,61.46,16.836,Apple
274.3,41.2,128.7,7.1,0.02,0.7,0.81,9.42,2.63,66.51,59.03,17.5273,Apple
762.3,84.6,145.6,8.1,0.12,0.71,0.76,6.4,2.2,62.53,56.22,21.3567,Apple
371.5,12.8,94.1,8.5,0.04,0.65,0.37,14.1,4.5,64.85,77.57,16.2069,Apple
312.0,13.9,339.0,7.9,0.09,0.81,0.37,14.2,2.8,62.67,61.59,15.2871,Apple
314.0,33.9,313.0,6.5,0.08,0.61,0.72,16.2,2.7,89.98,78.54,15.9076,Apple
319.0,44.2,342.4,6.9,0.57,0.75,0.47,17.2,3.8,84.91,59.18,20.8846,Apple
317.0,46.1,386.5,6.8,0.68,0.56,0.31,19.2,3.9,100.65,76.6,18.376,Apple
412.0,41.2,214.8,6.7,0.72,0.89,0.29,15.9,3.4,55.7,51.85,16.3865,Apple
413.0,47.2,219.5,6.5,0.39,0.54,0.38,16.5,5.2,100.22,73.11,20.2753,Apple
312.0,33.9,216.4,6.9,0.34,0.31,0.41,14.3,5.1,89.63,65.81,18.2725,Apple
414.0,44.7,144.3,6.7,0.56,0.42,0.37,19.9,6.0,94.5,69.93,18.3899,Apple
514.0,61.4,178.2,7.1,0.76,0.47,0.42,14.4,5.9,89.1,77.66,22.0546,Apple
530.0,63.4,149.5,7.3,0.72,0.47,0.39,16.4,5.0,85.54,74.38,20.9287,Apple
