N,P,K,pH,EC,OC,Cu,Fe,Mn,Rainfall,Humidity,Temperature,Label
140.6,10.7,135.5,7.2,0.02,0.17,0.15,15.0,0.13,66.22,64.17,22.6062,Cherry
587.6,54.2,672.0,6.9,0.3,1.26,0.49,7.5,0.85,66.83,75.39,20.4352,Cherry
613.5,48.7,145.6,6.0,0.08,1.63,0.68,8.0,0.61,51.11,85.36,17.6103,Cherry
578.4,79.8,145.6,5.8,0.11,1.71,0.48,7.0,0.77,52.2,63.3,19.2412,Cherry
588.6,69.6,425.6,7.4,0.42,1.03,0.45,6.3,0.86,46.64,85.38,17.6652,Cherry
594.8,76.2,134.4,6.4,0.05,1.65,0.72,10.4,0.79,41.25,80.53,22.3334,Cherry
578.4,79.8,145.6,5.8,0.11,1.71,0.48,7.0,0.77,53.05,61.29,17.2471,Cherry
587.6,54.2,672.0,6.9,0.3,1.26,0.49,7.5,0.85,53.86,76.27,21.7985,Cherry
588.6,96.6,425.6,7.4,0.42,1.03,0.45,6.3,0.86,61.53,60.28,21.0669,Cherry
613.5,48.7,145.6,6.0,0.08,1.63,0.68,8.0,0.61,66.51,78.6,17.5043,Cherry
505.8,28.4,189.4,7.2,0.06,1.04,0.48,6.8,0.76,49.01,79.14,18.0355,Cherry
512.7,34.5,167.2,7.8,0.13,0.96,0.53,8.4,0.54,60.65,61.69,22.2613,Cherry
489.7,31.6,148.9,7.9,0.12,0.87,0.71,7.7,0.72,41.51,75.64,20.808,Cherry
531.4,26.4,212.5,6.3,0.08,0.93,0.63,6.2,0.67,57.85,62.64,21.6912,Cherry
537.6,23.3,276.8,6.4,0.09,0.98,0.67,5.8,0.61,65.66,88.31,19.3239,Cherry
488.5,32.4,313.2,6.6,0.1,0.87,0.54,6.8,0.83,48.26,63.78,20.895,Cherry
476.3,36.7,162.4,6.7,0.07,0.82,0.56,7.2,0.81,49.21,67.63,22.563,Cherry
569.7,31.4,415.6,6.9,0.08,1.04,0.39,8.2,0.76,53.09,75.27,20.9152,Cherry
478.4,46.5,441.5,7.8,0.08,0.82,0.94,4.6,0.89,53.0,84.15,19.2566,Cherry
467.8,38.4,376.5,7.2,0.07,0.76,1.21,7.8,0.82,54.29,83.7,19.0645,Cherry
479.4,47.8,331.4,6.4,0.09,0.88,0.78,9.1,0.72,52.8,69.03,19.1506,Cherry
589.4,28.9,148.9,6.8,0.13,1.04,0.86,8.7,0.68,64.09,70.05,18.2309,Cherry
578.9,29.4,167.5,6.9,0.12,1.31,0.97,9.7,0.71,49.98,62.33,17.0992,Cherry
583.4,38.4,179.5,6.2,0.16,1.26,1.21,8.2,0.56,66.79,80.98,19.9699,Cherry
587.8,33.6,183.4,7.3,0.15,1.43,1.38,7.6,0.61,54.51,64.64,22.1478,Cherry
476.5,43.5,212.5,7.2,0.12,0.81,0.87,7.2,0.73,48.38,66.01,16.0957,Cherry
466.7,51.1,246.5,7.1,0.12,0.76,0.78,6.7,0.46,63.09,65.09,18.0775,Cherry
461.5,47.6,271.5,7.0,0.08,0.72,0.89,6.3,0.41,71.47,83.61,22.0201,Cherry
478.9,36.4,168.4,7.6,0.09,0.89,0.97,5.2,0.53,57.04,62.69,17.7553,Cherry
587.8,32.8,173.5,7.3,0.1,1.24,0.96,5.8,0.57,50.39,87.79,15.5714,Cherry
584.5,31.4,188.9,7.2,0.06,1.46,0.87,5.7,0.6,57.12,79.31,16.0471,Cherry
578.4,43.5,197.4,7.1,0.08,1.03,1.07,5.2,0.56,56.66,73.69,19.6221,Cherry
556.4,41.2,200.1,7.6,0.05,0.96,1.71,5.1,0.53,58.78,70.0,19.884,Cherry
589.4,42.4,414.5,7.2,0.08,1.21,0.89,8.1,0.45,57.53,64.08,22.6315,Cherry
567.4,36.7,367.3,6.7,0.09,0.18,0.76,7.6,0.51,51.38,84.18,16.0538,Cherry
478.4,45.8,214.5,6.6,0.13,0.76,0.54,9.4,0.56,61.09,85.08,18.0917,Cherry
467.4,41.4,266.8,6.5,0.12,0.89,0.82,9.0,0.43,60.36,87.65,22.0507,Cherry
578.9,38.7,212.5,6.7,0.07,0.9,0.81,6.7,0.41,47.21,78.79,20.6508,Cherry
581.4,32.4,189.4,7.6,0.08,0.93,0.67,4.5,0.38,58.04,79.14,15.3384,Cherry
567.3,46.8,167.3,7.3,0.13,0.87,0.88,5.7,0.46,64.28,75.7,21.0727,Cherry
568.9,41.5,172.3,7.8,0.16,0.96,0.76,5.8,0.41,50.75,72.28,20.0376,Cherry
588.4,56.7,124.8,7.9,0.14,1.21,0.88,6.2,0.46,54.37,82.44,16.7118,Cherry
572.4,52.5,167.9,6.2,0.12,1.04,0.96,6.8,0.38,56.19,68.79,15.5794,Cherry
581.4,46.5,188.9,6.1,0.11,1.06,0.56,6.2,0.32,50.94,69.93,20.2808,Cherry
582.4,42.1,246.4,6.7,0.08,1.31,0.88,6.6,0.41,52.48,85.19,21.388,Cherry
495.6,57.5,289.2,6.4,0.06,0.88,0.91,4.5,0.32,58.91,86.45,21.6644,Cherry
486.4,59.4,421.4,6.6,0.07,0.78,0.86,4.2,0.56,60.57,82.3,15.1613,Cherry
482.3,61.6,326.4,6.2,0.04,0.76,0.76,4.6,0.51,67.17,86.05,16.5673,Cherry
486.1,54.2,326.2,6.1,0.08,0.74,0.88,5.6,0.54,57.97,77.91,19.6768,Cherry
485.2,51.0,320.1,6.5,0.04,0.75,0.87,5.2,0.32,72.87,78.8,19.9291,Cherry
574.8,26.9,179.2,5.8,0.05,1.2,0.32,10.1,1.86,49.11,89.2,15.9969,Cherry
242.2,17.8,154.5,7.6,0.12,0.31,0.95,9.8,4.2,68.1,69.17,20.2294,Cherry
269.3,16.7,212.0,7.8,0.09,0.37,0.97,3.7,0.69,49.78,88.05,19.1128,Cherry
242.2,17.8,154.5,7.6,0.12,0.31,0.95,9.8,4.2,70.52,78.2,16.8438,Cherry
389.2,39.9,106.4,8.1,0.28,1.2,0.42,9.6,3.6,70.47,72.22,22.9252,Cherry
279.5,14.5,43.6,8.4,0.22,0.56,0.44,7.2,4.2,69.63,73.12,17.1713,Cherry
385.2,19.0,107.5,8.1,0.19,0.7,0.41,14.6,2.2,61.77,63.82,20.396,Cherry
574.5,43.7,627.2,7.8,0.14,1.4,0.38,4.1,2.9,61.22,82.68,22.9026,Cherry
468.2,38.1,257.6,7.3,0.08,0.99,0.32,8.8,7.7,51.15,60.58,22.9487,Cherry
431.5,25.0,133.2,7.4,0.08,0.71,0.38,9.8,1.4,57.51,63.34,21.9511,Cherry
273.8,49.3,179.2,7.9,0.19,1.02,0.37,2.1,1.8,59.83,69.06,21.8706,Cherry
568.4,33.7,168.5,7.3,0.04,1.08,0.36,7.17,2.8,61.93,80.17,17.5432,Cherry
414.5,28.8,145.6,7.5,0.01,0.92,0.48,9.61,2.7,47.44,83.63,22.5645,Cherry
125.5,11.4,119.5,7.3,0.01,0.19,0.37,7.03,1.0,50.47,68.62,16.9288,Cherry
313.6,16.8,152.1,8.5,0.1,0.82,1.51,6.2,6.0,63.68,63.18,22.8823,Cherry
309.8,35.5,113.7,8.4,0.04,0.71,0.54,6.46,3.4,59.36,60.9,18.1951,Cherry
592.7,82.5,586.3,7.3,0.48,1.54,2.13,19.1,8.0,65.99,86.05,18.1887,Cherry
468.9,28.9,168.9,6.7,0.09,0.72,0.89,12.1,2.1,50.8,71.73,22.659,Cherry
389.5,26.4,384.5,6.9,0.1,0.54,0.67,16.4,4.3,53.34,71.89,18.8644,Cherry
271.5,31.5,372.1,6.5,0.12,0.39,0.62,13.9,3.8,67.55,65.74,19.1021,Cherry
394.5,21.4,348.5,6.8,0.14,0.67,0.73,12.8,4.1,54.46,60.12,21.1628,Cherry
471.5,18.9,169.5,6.4,0.07,0.84,0.54,11.9,2.9,54.14,67.52,22.3525,Cherry
567.3,9.9,414.5,6.7,0.06,0.97,0.28,9.8,2.0,51.74,65.56,18.0449,Cherry
481.5,11.5,321.5,6.6,0.08,0.61,0.39,7.8,1.8,50.15,60.47,22.99,Cherry
427.5,12.6,416.8,6.2,0.19,0.54,0.62,6.9,1.9,41.08,70.1,19.0742,Cherry
313.4,19.9,368.5,6.8,0.21,0.48,0.61,7.4,2.1,53.62,82.56,20.6603,Cherry
256.9,28.5,359.2,7.1,0.34,0.23,0.32,5.8,2.4,45.31,61.41,19.7849,Cherry
468.9,35.4,218.9,8.1,0.09,0.89,1.06,12.1,3.1,47.12,73.1,18.9548,Cherry
415.0,28.7,209.5,8.0,0.13,0.76,2.5,14.2,4.5,56.69,86.34,21.1164,Cherry
389.9,31.5,358.5,7.6,0.12,0.56,1.7,10.8,3.28,42.69,72.11,18.214,Cherry
345.1,26.7,267.1,7.0,0.1,0.61,1.14,9.7,6.23,44.68,64.95,18.4245,Cherry
375.5,22.5,308.9,6.8,0.06,0.58,1.24,7.6,4.02,68.79,80.31,17.9991,Cherry
415.8,20.5,369.9,7.7,0.13,0.69,2.6,14.5,5.9,54.83,74.03,18.9543,Cherry
340.5,18.9,371.5,7.8,0.11,0.49,1.8,12.54,7.6,47.45,68.63,16.2847,Cherry
256.5,14.3,467.5,7.7,0.16,0.42,2.3,11.9,2.5,59.26,63.5,18.1297,Cherry
215.5,16.7,365.9,7.9,0.21,0.35,2.1,10.9,3.4,55.92,89.6,15.4534,Cherry
475.8,12.9,306.5,6.6,0.23,0.73,1.0,8.7,4.1,45.94,62.75,20.0535,Cherry
481.5,11.9,265.9,6.8,0.31,0.79,0.89,7.63,5.6,63.42,71.06,18.6036,Cherry
314.5,9.7,360.9,6.7,0.18,0.51,0.95,9.1,5.1,64.1,71.97,19.6026,Cherry
356.6,8.5,246.5,6.9,0.18,0.5,1.67,8.4,4.3,64.48,75.66,15.0684,Cherry
356.4,28.5,318.9,6.4,0.06,0.63,1.97,12.8,2.6,52.0,87.73,21.6757,Cherry
212.5,24.6,287.6,6.2,0.08,0.21,1.07,11.9,3.1,65.91,85.59,17.8171,Cherry
347.5,29.5,264.9,6.9,0.1,0.54,1.07,10.9,3.4,62.5,76.76,16.6319,Cherry
489.5,36.7,286.5,6.7,0.14,0.94,0.89,14.5,5.1,52.03,72.95,22.8742,Cherry
475.6,31.2,303.5,6.3,0.12,0.92,0.76,12.5,5.9,56.21,73.64,18.731,Cherry
518.9,28.2,331.5,7.2,0.19,0.97,0.94,10.9,5.6,46.74,66.77,22.2273,Cherry
586.7,26.5,367.5,7.0,0.07,1.21,1.45,9.7,5.2,49.77,78.78,19.3293,Cherry
523.5,41.5,345.1,7.1,0.06,1.23,1.21,7.8,5.7,66.94,71.83,15.9523,Cherry
468.9,40.5,416.5,6.6,0.05,0.78,0.96,6.8,4.1,57.63,74.55,21.4247,Cherry
475.2,38.7,421.8,6.2,0.08,0.75,1.38,9.5,3.6,51.38,82.38,22.4016,Cherry
538.9,32.4,381.5,7.0,0.09,0.81,1.41,10.0,3.4,49.54,70.88,17.5162,Cherry
561.4,38.9,276.4,6.7,0.1,0.81,1.06,11.7,2.8,56.02,82.1,16.0757,Cherry
589.4,28.9,461.5,7.2,0.09,0.95,0.96,14.1,4.5,63.59,81.22,15.125,Cherry
576.8,27.5,347.6,7.8,0.06,0.92,1.86,12.7,2.7,52.12,76.87,16.9105,Cherry
478.9,31.5,407.8,6.7,0.05,0.78,1.86,10.1,6.8,62.2,77.77,20.0874,Cherry
484.9,30.8,318.9,6.5,0.07,0.83,0.74,12.2,7.1,67.44,86.03,22.7228,Cherry
497.6,26.8,287.6,6.2,0.09,0.87,0.86,13.7,4.5,59.63,88.57,17.1216,Cherry
561.1,34.5,264.9,6.9,0.13,0.81,0.74,10.6,2.7,59.96,65.82,19.8872,Cherry
428.9,38.9,289.5,6.9,0.12,0.72,0.81,12.4,2.9,65.79,79.18,22.3018,Cherry
594.5,41.4,303.5,7.1,0.16,0.93,0.91,11.7,3.7,67.53,62.97,20.2778,Cherry
434.5,46.7,331.5,7.3,0.14,0.63,1.21,9.7,2.8,54.72,61.36,16.936,Cherry
478.9,31.5,367.5,7.8,0.12,0.67,1.46,69.2,2.9,63.39,88.18,16.2773,Cherry
484.5,28.5,345.1,7.6,0.07,0.75,0.24,8.7,3.5,63.08,77.91,18.8127,Cherry
476.5,26.7,416.5,7.4,0.08,0.71,0.32,6.7,2.6,36.01,88.82,18.2852,Cherry
491.5,31.5,421.8,7.1,0.09,0.78,0.38,7.8,2.9,62.51,75.88,20.5898,Cherry
491.6,27.5,381.5,7.0,0.13,0.79,0.36,10.4,2.4,64.75,84.15,17.5824,Cherry
507.6,31.4,276.4,6.8,0.07,0.88,0.24,8.8,2.3,62.99,85.14,19.8695,Cherry
476.4,28.5,157.5,7.5,0.09,0.75,1.76,14.5,4.8,54.68,86.63,15.4295,Cherry
463.5,21.5,167.5,7.2,0.13,0.67,1.32,14.1,6.7,49.53,69.1,22.725,Cherry
414.5,31.4,189.4,6.7,0.12,0.51,1.38,13.4,4.5,56.71,83.89,21.5735,Cherry
408.7,28.7,194.5,6.2,0.08,0.45,1.22,12.6,4.2,42.77,84.54,17.4891,Cherry
231.5,21.4,214.5,6.6,0.07,0.38,1.24,11.9,6.2,57.22,79.16,17.4661,Cherry
479.5,30.5,267.1,6.9,0.06,0.82,0.94,10.5,6.3,53.23,74.31,15.7158,Cherry
468.7,26.7,384.1,7.3,0.08,0.86,1.61,9.7,9.0,39.85,86.24,17.8889,Cherry
485.9,36.8,361.7,7.1,0.09,0.91,0.98,8.5,8.0,57.97,85.26,19.5137,Cherry
203.5,41.5,294.5,7.1,0.14,0.37,1.48,11.6,4.9,69.76,60.24,18.6354,Cherry
589.7,38.5,138.9,7.6,0.21,0.94,1.21,10.9,2.1,65.28,74.23,15.9023,Cherry
461.5,25.6,226.5,7.4,0.38,0.76,0.76,12.1,4.3,39.19,77.38,15.6022,Cherry
308.9,24.9,194.5,6.8,0.31,0.41,0.78,14.4,3.8,36.57,61.56,22.3365,Cherry
253.5,17.4,103.8,7.2,0.26,0.38,0.85,10.9,2.5,56.37,69.38,15.1446,Cherry
489.5,18.8,189.5,7.1,0.31,0.89,0.72,8.9,3.1,46.51,78.21,15.8194,Cherry
499.5,12.9,130.5,6.8,0.3,0.75,0.67,9.7,2.8,49.79,66.4,22.7822,Cherry
465.2,13.4,128.7,6.5,0.18,0.61,0.51,11.5,3.3,52.62,73.25,15.6966,Cherry
421.3,11.5,241.5,6.5,0.09,0.65,0.39,10.5,2.6,50.04,83.36,18.1088,Cherry
485.9,10.8,267.3,6.2,0.1,0.62,0.51,8.5,1.9,52.85,60.14,21.7847,Cherry
467.3,9.8,304.5,6.7,0.13,0.51,0.63,6.7,3.1,55.34,78.45,21.742,Cherry
205.5,7.6,331.5,7.1,0.15,0.36,0.81,4.5,4.1,58.43,66.94,21.3105,Cherry
489.2,4.5,289.5,7.4,0.16,0.88,0.67,8.9,2.5,62.96,69.14,15.8951,Cherry
563.5,28.9,281.4,7.3,0.12,0.93,0.54,10.5,2.1,66.18,87.66,20.4538,Cherry
341.5,16.5,321.4,6.2,0.09,0.46,1.89,11.5,4.5,61.81,86.62,17.1078,Cherry
376.8,19.2,367.4,6.1,0.12,0.51,1.67,10.7,5.6,48.78,72.8,17.2235,Cherry
313.5,18.4,281.4,6.4,0.11,0.54,1.54,12.5,6.7,59.1,64.91,22.1206,Cherry
342.1,31.5,397.4,6.5,0.1,0.48,1.97,9.7,3.2,55.02,61.26,19.942,Cherry
466.5,36.2,385.4,6.7,0.08,0.79,1.07,6.7,2.9,66.56,60.21,19.0139,Cherry
489.5,30.4,138.9,7.2,0.07,0.81,1.07,8.9,3.8,52.61,85.26,15.6338,Cherry
236.5,28.7,218.9,7.1,0.06,0.36,0.89,7.6,4.5,45.41,89.81,15.6087,Cherry
348.9,26.5,414.5,7.0,0.09,0.51,0.76,10.7,4.1,42.21,73.8,22.8531,Cherry
367.3,29.5,406.7,6.8,0.13,0.54,0.94,11.2,3.9,63.77,60.88,16.6628,Cherry
381.5,23.8,378.9,6.2,0.1,0.61,1.45,13.4,4.3,46.82,68.99,15.5586,Cherry
375.5,16.1,228.4,9.2,0.12,0.71,1.21,14.5,5.0,65.26,88.42,20.4118,Cherry
412.5,12.4,236.7,6.5,0.13,0.65,0.96,10.1,5.2,58.41,77.37,22.0507,Cherry
206.5,6.9,210.8,6.1,0.09,0.21,1.38,12.5,4.8,51.02,77.64,22.1687,Cherry
281.9,11.5,167.4,6.7,0.06,0.46,1.41,13.5,3.7,60.08,63.47,19.0762,Cherry
255.6,13.4,165.4,6.6,0.08,0.33,1.06,14.2,3.2,51.52,63.1,19.5653,Cherry
418.4,38.9,461.5,7.9,0.09,0.85,1.89,12.4,4.1,57.88,64.52,17.2466,Cherry
404.5,34.6,347.6,6.8,0.13,0.67,1.67,11.7,3.8,55.86,78.7,17.0301,Cherry
386.7,31.5,407.8,6.5,0.07,0.56,1.54,16.4,2.8,60.88,70.43,21.0001,Cherry
248.6,37.2,218.9,6.9,0.26,0.35,1.41,13.6,3.9,53.55,65.72,21.5405,Cherry
589.7,38.9,300.8,6.4,0.24,0.96,0.78,11.1,4.1,62.51,64.93,15.4742,Cherry
215.4,21.5,134.5,6.2,0.34,0.35,0.94,10.2,4.6,47.65,80.9,17.7611,Cherry
481.5,29.4,404.5,7.2,0.09,0.78,1.38,14.1,4.1,52.26,78.33,16.7032,Cherry
370.4,16.7,421.5,7.4,0.23,0.56,0.79,11.7,2.1,51.51,70.55,19.4212,Cherry
450.8,28.9,367.3,7.8,0.29,0.71,0.69,10.9,3.2,58.78,67.37,17.2589,Cherry
294.8,76.2,134.4,6.4,0.05,1.65,0.72,10.4,0.79,53.09,87.25,21.1354,Cherry
689.4,74.8,660.8,6.7,0.43,1.29,2.74,14.0,2.52,59.57,77.4,21.4316,Cherry
674.5,72.1,627.2,6.6,0.52,1.47,3.08,14.6,2.42,50.43,61.87,15.6293,Cherry
589.4,76.4,548.8,6.5,0.4,1.3,2.44,12.8,2.1,70.95,78.76,22.7865,Cherry
567.3,68.9,515.2,6.4,0.43,1.15,2.76,13.6,2.34,45.16,69.41,21.1815,Cherry
581.2,79.4,497.4,6.7,0.44,1.39,2.94,13.8,2.3,61.94,76.86,16.8114,Cherry
596.8,83.8,486.4,7.2,0.06,1.74,0.96,15.4,2.3,40.84,72.71,17.5845,Cherry
587.4,87.6,506.8,6.7,0.53,1.27,2.82,13.5,2.3,49.99,78.83,22.6139,Cherry
583.4,84.6,574.5,6.8,0.46,1.48,2.5,13.6,2.2,61.84,84.43,17.4947,Cherry
591.7,81.5,586.4,7.1,0.47,1.54,2.72,13.5,2.13,59.66,82.99,20.3715,Cherry
678.4,71.7,840.1,7.4,0.28,2.24,2.1,13.2,3.48,52.21,86.51,21.9841,Cherry
416.7,94.5,302.4,7.3,0.24,0.89,2.9,5.38,1.38,57.43,89.4,21.4612,Cherry
571.4,86.7,336.1,6.3,0.1,1.18,2.3,5.66,1.48,44.21,84.92,21.6115,Cherry
644.5,88.5,414.4,5.8,0.11,0.96,2.8,5.2,1.58,45.72,63.34,15.7706,Cherry
589.5,91.5,246.5,5.7,0.12,1.0,2.5,6.8,1.66,41.05,89.45,17.4444,Cherry
596.5,74.8,336.1,5.5,0.1,0.47,3.4,5.7,1.72,67.11,61.73,21.3614,Cherry
489.5,93.5,313.6,5.7,0.12,0.98,2.3,6.0,1.74,52.04,77.14,19.1218,Cherry
589.7,84.5,358.4,5.8,0.1,1.06,2.6,4.5,1.26,63.35,77.42,21.0363,Cherry
614.5,92.4,425.6,6.0,0.15,1.41,2.76,8.1,1.48,47.06,89.18,19.0522,Cherry
612.5,67.5,280.1,6.3,0.14,1.62,2.76,9.4,1.48,63.04,74.2,17.9414,Cherry
567.4,73.5,284.5,6.7,0.1,1.0,2.62,6.2,0.76,58.48,74.42,19.875,Cherry
486.5,46.4,248.9,6.8,0.08,0.98,2.46,6.8,1.38,52.76,68.93,21.4886,Cherry
446.5,34.5,371.4,6.2,0.12,0.89,2.48,7.2,1.21,56.09,65.49,15.9249,Cherry
568.9,48.9,376.4,6.7,0.23,0.94,2.1,4.6,1.31,62.66,65.16,16.8462,Cherry
594.5,38.1,380.4,6.5,0.46,1.81,3.0,9.1,0.46,51.19,72.13,15.0639,Cherry
584.5,39.4,362.1,7.1,0.21,1.46,2.1,7.3,0.86,52.92,77.74,21.1386,Cherry
578.4,44.1,408.9,7.4,0.36,1.21,1.8,4.6,0.76,42.39,79.04,16.1884,Cherry
568.9,10.4,416.5,7.2,0.43,1.33,2.6,6.7,0.69,61.8,72.67,16.3119,Cherry
592.4,36.7,269.5,6.6,0.27,1.08,1.08,6.2,6.4,50.66,66.16,18.1515,Cherry
588.4,26.8,372.4,6.8,0.18,1.17,2.04,4.3,1.81,48.06,72.71,15.2214,Cherry
597.5,29.4,261.2,6.9,0.22,1.21,1.89,9.0,1.46,44.98,87.39,16.8307,Cherry
495.4,39.5,486.5,6.2,0.08,0.91,0.96,4.6,1.28,62.03,83.51,18.637,Cherry
467.2,48.9,471.5,6.7,0.12,0.78,1.48,7.2,1.46,63.67,88.74,20.5349,Cherry
578.4,53.5,406.8,6.5,0.14,0.96,1.38,8.1,2.14,68.53,77.88,17.1372,Cherry
597.8,63.8,386.1,7.1,0.16,1.08,3.16,7.4,1.67,50.77,71.43,20.6981,Cherry
561.5,59.5,412.5,7.2,0.21,0.84,2.12,8.6,1.91,66.34,69.03,19.7897,Cherry
593.4,96.5,309.5,6.6,0.09,1.21,2.04,7.2,1.43,61.5,74.7,18.5204,Cherry
586.4,70.4,287.5,7.2,0.23,1.42,1.89,6.2,1.38,50.93,65.1,17.4435,Cherry
612.5,71.5,346.5,6.8,0.21,1.39,1.76,4.6,1.24,64.02,81.09,17.4541,Cherry
607.4,67.5,388.1,6.4,0.26,1.28,1.64,5.3,1.38,66.05,83.95,22.635,Cherry
471.5,81.5,467.5,6.0,0.48,0.67,1.54,4.9,1.41,48.51,85.76,17.6135,Cherry
612.4,66.4,406.4,6.1,0.13,1.31,2.1,4.6,1.05,51.76,76.39,22.6585,Cherry
622.4,71.5,371.5,6.7,0.15,1.46,1.48,9.5,1.06,67.35,66.75,19.6253,Cherry
593.5,62.5,409.4,5.8,0.12,1.08,1.67,7.2,1.21,37.46,67.62,17.2549,Cherry
587.4,56.5,367.4,5.6,0.09,0.97,1.21,7.1,1.31,66.02,73.23,21.3065,Cherry
591.5,62.1,381.4,5.9,0.08,1.84,1.04,9.6,0.48,61.81,77.39,21.5004,Cherry
478.9,58.2,364.5,6.3,0.1,0.74,0.96,6.1,0.58,58.56,61.39,22.9128,Cherry
586.5,51.4,348.1,6.7,0.13,1.28,1.31,6.5,0.71,61.23,84.15,19.5798,Cherry
593.5,46.5,288.9,6.5,0.1,1.18,1.28,7.2,0.46,59.49,76.93,16.4775,Cherry
597.4,41.5,297.2,6.5,0.09,1.91,1.1,7.2,0.38,50.16,61.83,15.8092,Cherry
614.5,60.5,318.5,6.3,0.11,1.62,0.94,6.8,0.53,53.45,79.06,21.7562,Cherry
371.5,13.8,414.5,7.0,0.1,0.63,1.45,11.5,4.1,42.25,88.95,17.0374,Cherry
408.5,12.7,213.5,7.1,0.23,0.71,1.29,10.6,5.9,42.43,64.0,20.1938,Cherry
415.8,20.5,369.9,7.7,0.13,0.69,1.8,14.5,7.6,66.14,83.47,20.7596,Cherry
340.5,18.9,371.5,7.8,0.11,0.49,2.3,12.4,2.5,55.64,77.34,20.6851,Cherry
256.5,14.3,467.5,7.7,0.16,0.42,2.1,11.9,3.4,60.62,64.43,21.1726,Cherry
215.5,16.7,365.1,7.9,0.21,0.35,1.0,10.8,4.1,54.12,72.12,17.1404,Cherry
745.8,12.9,306.5,6.6,0.23,0.73,0.89,8.7,5.6,49.84,68.0,16.0958,Cherry
481.5,11.9,265.9,6.8,0.31,0.79,0.95,7.6,5.1,53.82,74.82,19.3049,Cherry
314.5,9.7,360.9,6.7,0.18,0.51,1.67,9.1,4.3,47.01,77.09,20.1802,Cherry
356.6,8.5,246.5,6.9,0.18,0.51,1.45,8.4,4.1,66.0,60.17,21.078,Cherry
371.5,13.8,414.5,7.0,0.19,0.61,1.29,11.5,3.8,56.41,62.49,16.9806,Cherry
408.5,12.7,213.5,7.1,0.23,0.71,1.28,10.6,4.1,55.87,69.97,21.8134,Cherry
389.5,27.5,285.8,7.8,0.16,0.85,0.89,7.8,4.1,54.13,61.1,19.0348,Cherry
205.6,21.6,289.7,8.1,0.31,0.27,0.76,9.4,2.1,64.04,73.83,17.6604,Cherry
371.5,26.4,263.5,8.0,0.43,0.67,0.51,8.9,3.5,78.25,74.2,17.6742,Cherry
364.5,20.5,285.1,7.8,0.19,0.73,0.99,7.6,1.8,60.2,64.34,22.7513,Cherry
318.4,19.6,167.3,7.4,0.21,0.54,0.72,11.5,1.9,66.54,61.38,15.398,Cherry
360.4,50.1,165.8,7.3,0.11,0.46,0.71,13.5,1.56,52.56,84.94,21.6241,Cherry
345.4,27.5,239.4,4.5,0.09,0.38,0.74,11.1,1.48,62.24,83.4,15.6213,Cherry
212.8,18.9,228.1,7.3,0.35,0.29,0.84,8.9,2.89,65.69,61.28,17.2443,Cherry
345.6,14.2,286.9,6.9,0.41,0.42,0.85,7.8,3.67,56.38,60.31,21.7201,Cherry
467.7,34.5,341.5,7.0,0.13,0.68,0.86,4.6,1.23,72.49,81.06,20.7904,Cherry
587.9,23.5,527.8,7.6,0.11,1.0,0.4,16.7,7.0,45.41,87.58,15.6434,Cherry
487.5,11.6,156.8,8.2,0.05,0.92,0.37,14.3,5.1,48.85,71.24,16.2995,Cherry
589.7,13.5,78.4,8.5,0.03,1.0,0.35,12.1,4.8,63.7,67.81,19.9489,Cherry
125.7,15.6,100.6,8.6,0.09,0.82,1.29,13.6,1.9,56.94,76.28,22.501,Cherry
177.3,9.8,160.3,8.4,0.09,0.61,1.56,14.2,6.3,66.41,85.17,19.8008,Cherry
160.4,38.4,369.5,6.5,0.02,0.19,1.2,6.26,7.4,67.39,66.02,15.7724,Cherry
150.8,17.3,360.1,6.6,0.07,0.21,0.7,7.9,8.04,64.39,84.12,17.0006,Cherry
212.4,19.01,216.8,7.5,0.08,0.29,1.4,6.53,6.76,45.95,74.99,21.0382,Cherry
186.4,15.3,268.8,7.6,0.02,0.19,1.9,7.29,7.42,43.57,77.73,16.1059,Cherry
282.2,16.8,212.3,6.4,0.08,0.25,0.51,6.12,7.02,46.19,87.43,15.426,Cherry
237.3,14.3,189.3,6.8,0.07,0.13,1.12,7.6,6.42,50.34,78.32,20.6379,Cherry
346.5,16.2,436.8,8.1,0.06,0.56,0.6,8.6,7.42,64.32,87.94,19.2588,Cherry
123.5,19.0,224.1,7.6,0.08,0.16,1.2,7.6,7.93,53.2,68.75,16.636,Cherry
282.2,8.7,113.1,7.9,0.08,0.69,1.82,22.78,4.46,56.57,70.04,16.0593,Cherry
313.6,10.5,411.4,8.6,0.03,0.55,0.82,4.93,5.08,56.33,73.07,16.6439,Cherry
598.6,28.3,313.3,6.7,0.68,1.04,0.83,11.3,1.8,57.23,73.8,16.1037,Cherry
287.8,35.7,313.3,6.8,0.03,0.18,0.55,15.7,2.1,60.45,77.96,22.7114,Cherry
282.4,22.5,221.8,6.3,0.02,0.75,0.67,12.74,5.2,81.21,76.86,21.9852,Cherry
255.7,36.8,341.5,6.0,0.04,0.18,1.21,14.0,5.6,76.07,79.83,19.1729,Cherry
476.8,28.9,288.7,6.7,0.06,0.53,1.1,15.7,8.5,72.49,60.23,17.8195,Cherry
212.5,21.4,103.8,6.0,0.04,0.27,0.77,13.8,4.8,62.77,80.59,19.6722,Cherry
376.7,12.7,313.6,7.2,0.08,0.58,0.8,21.7,2.7,72.49,75.36,19.194,Cherry
